clerical_match_score,found_by_blocking_rules,match_weight,match_probability,unique_id_l,unique_id_r,name_clean_l,name_clean_r,gamma_name_clean,bf_name_clean,entity_type_l,entity_type_r,gamma_entity_type,bf_entity_type,destination_id_l,destination_id_r,gamma_destination_id,bf_destination_id,lon_l,lon_r,lat_l,lat_r,gamma_lat_lon,bf_lat_lon,true_label_l,true_label_r,match_key
0.0,True,16.398937670633057,0.9999884276159442,osmacc_4988884025,osmacc_4988887624,hospedaje santa rosa,hospedaje samana wasi,1,68.6030400181494,Hostel,Hostel,1,1.957207182400477,Q676203,Q676203,1,537.0149074471742,-72.1510234,-72.1504908,-13.4638105,-13.4636084,3,11982.90732498872,11784,1,1
0.0,True,7.800048970033788,0.9955330921509717,osmacc_4055841688,osmacc_6305889685,dubai nha trang,merlion hotel actual location,0,0.9509320097668568,Hotel,Hotel,1,1.957207182400477,Q19491,Q19491,1,537.0149074471742,109.1961734,109.1965159,12.2376658,12.2352788,2,2229.629319717905,19343,9,1
0.0,True,5.5527834217478045,0.9791411230772383,osmacc_5713272022,osmacc_7976318316,shyamala pappu nurses hostel,woke,0,0.9509320097668568,Hostel,Hotel,0,0.41223272252638565,Q1355,Q1355,1,537.0149074471742,77.6415288,77.6444166,12.9759883,12.9778932,2,2229.629319717905,15019,12,1
0.0,True,5.5527834217478045,0.9791411230772383,osmacc_4803710059,osmacc_5132963631,usman hotel,eobi guest house,0,0.9509320097668568,Hotel,Guesthouse,0,0.41223272252638565,Q8660,Q8660,1,537.0149074471742,67.0471301,67.0510609,24.8202122,24.8216793,2,2229.629319717905,1275,17,1
0.0,True,7.800048970033788,0.9955330921509717,osmacc_5963382285,osmacc_6125732001,hotel yuhuca,hotel ɨguasú,0,0.9509320097668568,Hotel,Hotel,1,1.957207182400477,Q750,Q750,1,537.0149074471742,-63.1870657,-63.1877175,-15.8974168,-15.8962866,2,2229.629319717905,15702,19,1
0.0,True,7.800048970033788,0.9955330921509717,osmacc_10875992752,osmacc_10875992758,e,a2,0,0.9509320097668568,Villa,Villa,1,1.957207182400477,Q3929,Q3929,1,537.0149074471742,57.5254215,57.5268249,-20.2283704,-20.2293541,2,2229.629319717905,16287,29,1
0.0,True,7.978885618577887,0.9960518101662312,osmacc_12035179769,osmacc_1451012322,ccasa hostel,daphovina hotel,0,0.9509320097668568,Hostel,Hotel,0,0.41223272252638565,Q19491,Q19491,1,537.0149074471742,109.2007796,109.2014372,12.2789468,12.2788264,3,11982.90732498872,16821,32,1
0.0,True,7.800048970033788,0.9955330921509717,osmacc_2012970760,osmacc_6567547685,les commerçants,albert élisabeth,0,0.9509320097668568,Hotel,Hotel,1,1.957207182400477,Q42168,Q42168,1,537.0149074471742,3.1009005,3.0967368,45.7797516,45.7791657,2,2229.629319717905,13888,33,1
0.0,True,10.22615116686387,0.9991658208550364,osmacc_4715910368,osmacc_4715910370,yp boutique hotel,hotel sun inns,0,0.9509320097668568,Hotel,Hotel,1,1.957207182400477,Q1865,Q1865,1,537.0149074471742,101.5981173,101.5979456,3.1061909,3.1056639,3,11982.90732498872,12534,37,1
0.0,True,7.800048970033788,0.9955330921509717,osmacc_10885864993,osmacc_4631393789,hotel miramonti,morena hotel,0,0.9509320097668568,Hotel,Hotel,1,1.957207182400477,Q3866,Q3866,1,537.0149074471742,35.7648853,35.7635763,-6.1777527,-6.1772299,2,2229.629319717905,2659,42,1
